Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2021/02/25
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2021/02/25
Arizzano;103003;-1;4;1.9900000095367432;2021/02/25
Arola;103004;-1;0;0;2021/02/25
Aurano;103005;-1;0;0;2021/02/25
Baceno;103006;-1;4;4.460000038146973;2021/02/25
Bannio Anzino;103007;-1;0;0;2021/02/25
Baveno;103008;-1;14;2.8499999046325684;2021/02/25
Bee;103009;-1;0;0;2021/02/25
Belgirate;103010;-1;1;1.9900000095367432;2021/02/25
Beura-Cardezza;103011;-1;3;2.0399999618530273;2021/02/25
Bognanco;103012;-1;1;5.320000171661377;2021/02/25
Brovello-Carpugnino;103013;-1;7;9.850000381469727;2021/02/25
Calasca-Castiglione;103014;-1;0;0;2021/02/25
Cambiasca;103015;-1;12;7.389999866485596;2021/02/25
Cannero Riviera;103016;-1;1;1.100000023841858;2021/02/25
Cannobio;103017;-1;10;1.9500000476837158;2021/02/25
Caprezzo;103018;-1;0;0;2021/02/25
Casale Corte Cerro;103019;-1;11;3.1700000762939453;2021/02/25
Ceppo Morelli;103021;-1;0;0;2021/02/25
Cesara;103022;-1;1;1.6799999475479126;2021/02/25
Cossogno;103023;-1;2;2.950000047683716;2021/02/25
Craveggia;103024;-1;7;9.1899995803833;2021/02/25
Crevoladossola;103025;-1;41;8.90999984741211;2021/02/25
Crodo;103026;-1;2;1.4299999475479126;2021/02/25
Domodossola;103028;-1;95;5.239999771118164;2021/02/25
Druogno;103029;-1;4;3.759999990463257;2021/02/25
Formazza;103031;-1;0;0;2021/02/25
Germagno;103032;-1;0;0;2021/02/25
Ghiffa;103033;-1;9;3.819999933242798;2021/02/25
Gignese;103034;-1;2;1.909999966621399;2021/02/25
Gravellona Toce;103035;-1;14;1.7899999618530273;2021/02/25
Gurro;103036;-1;0;0;2021/02/25
Intragna;103037;-1;0;0;2021/02/25
Loreglia;103038;-1;0;0;2021/02/25
Macugnaga;103039;-1;7;12.920000076293945;2021/02/25
Madonna del Sasso;103040;-1;0;0;2021/02/25
Malesco;103041;-1;19;13.779999732971191;2021/02/25
Masera;103042;-1;13;8.800000190734863;2021/02/25
Massiola;103043;-1;0;0;2021/02/25
Mergozzo;103044;-1;6;2.7699999809265137;2021/02/25
Miazzina;103045;-1;5;13.09000015258789;2021/02/25
Montecrestese;103046;-1;14;11.010000228881836;2021/02/25
Montescheno;103047;-1;0;0;2021/02/25
Nonio;103048;-1;2;2.319999933242798;2021/02/25
Oggebbio;103049;-1;3;3.440000057220459;2021/02/25
Omegna;103050;-1;56;3.690000057220459;2021/02/25
Ornavasso;103051;-1;14;4.079999923706055;2021/02/25
Pallanzeno;103052;-1;8;6.96999979019165;2021/02/25
Piedimulera;103053;-1;3;1.9700000286102295;2021/02/25
Pieve Vergonte;103054;-1;3;1.190000057220459;2021/02/25
Premeno;103055;-1;0;0;2021/02/25
Premia;103056;-1;0;0;2021/02/25
Premosello-Chiovenda;103057;-1;6;3.0899999141693115;2021/02/25
Quarna Sopra;103058;-1;2;7.940000057220459;2021/02/25
Quarna Sotto;103059;-1;0;0;2021/02/25
Re;103060;-1;45;61.13999938964844;2021/02/25
San Bernardino Verbano;103061;-1;3;2.2799999713897705;2021/02/25
Santa Maria Maggiore;103062;-1;9;6.96999979019165;2021/02/25
Stresa;103064;-1;12;2.4600000381469727;2021/02/25
Toceno;103065;-1;2;2.740000009536743;2021/02/25
Trarego Viggiona;103066;-1;0;0;2021/02/25
Trasquera;103067;-1;1;5.710000038146973;2021/02/25
Trontano;103068;-1;8;4.789999961853027;2021/02/25
Valstrona;103069;-1;1;0.8199999928474426;2021/02/25
Vanzone con San Carlo;103070;-1;1;2.619999885559082;2021/02/25
Varzo;103071;-1;3;1.4900000095367432;2021/02/25
Verbania;103072;-1;142;4.650000095367432;2021/02/25
Vignone;103074;-1;3;2.509999990463257;2021/02/25
Villadossola;103075;-1;35;5.369999885559082;2021/02/25
Villette;103076;-1;1;3.5999999046325684;2021/02/25
Vogogna;103077;-1;3;1.7100000381469727;2021/02/25
Borgomezzavalle;103078;-1;0;0;2021/02/25
Valle Cannobina;103079;-1;0;0;2021/02/25
Valdilana;096088;-1;19;1.7599999904632568;2021/02/25
Quaregna Cerreto;096087;-1;6;2.940000057220459;2021/02/25
Campiglia Cervo;096086;-1;0;0;2021/02/25
Lessona;096085;-1;27;9.90999984741211;2021/02/25
Zumaglia;096083;-1;0;0;2021/02/25
Zubiena;096082;-1;5;4.360000133514404;2021/02/25
Zimone;096081;-1;0;0;2021/02/25
Viverone;096080;-1;7;4.960000038146973;2021/02/25
Villanova Biellese;096079;-1;0;0;2021/02/25
Villa del Bosco;096078;-1;1;2.990000009536743;2021/02/25
Vigliano Biellese;096077;-1;23;3;2021/02/25
Verrone;096076;-1;13;10.430000305175781;2021/02/25
Veglio;096075;-1;0;0;2021/02/25
Valle San Nicolao;096074;-1;0;0;2021/02/25
Vallanzengo;096072;-1;0;0;2021/02/25
Valdengo;096071;-1;8;3.25;2021/02/25
Torrazzo;096069;-1;0;0;2021/02/25
Tollegno;096068;-1;1;0.4099999964237213;2021/02/25
Ternengo;096067;-1;0;0;2021/02/25
Tavigliano;096066;-1;1;1.0800000429153442;2021/02/25
Strona;096065;-1;1;0.9300000071525574;2021/02/25
Sostegno;096064;-1;1;1.2999999523162842;2021/02/25
Sordevolo;096063;-1;1;0.75;2021/02/25
Sandigliano;096059;-1;9;3.369999885559082;2021/02/25
Salussola;096058;-1;4;2.0799999237060547;2021/02/25
Sala Biellese;096057;-1;2;3.380000114440918;2021/02/25
Sagliano Micca;096056;-1;3;1.8700000047683716;2021/02/25
Rosazza;096055;-1;0;0;2021/02/25
Roppolo;096054;-1;0;0;2021/02/25
Ronco Biellese;096053;-1;6;3.9800000190734863;2021/02/25
Pray;096050;-1;5;2.369999885559082;2021/02/25
Pralungo;096049;-1;5;2.109999895095825;2021/02/25
Portula;096048;-1;0;0;2021/02/25
Ponderano;096047;-1;6;1.590000033378601;2021/02/25
Pollone;096046;-1;7;3.309999942779541;2021/02/25
Piedicavallo;096044;-1;0;0;2021/02/25
Piatto;096043;-1;0;0;2021/02/25
Pettinengo;096042;-1;1;0.6600000262260437;2021/02/25
Occhieppo Superiore;096041;-1;5;1.8600000143051147;2021/02/25
Occhieppo Inferiore;096040;-1;9;2.309999942779541;2021/02/25
Netro;096039;-1;0;0;2021/02/25
